"","GroupCode","Company","AccidentYear","DevelopmentYear","Lag","CumulativeIncurred","CumulativePaid","IBNR","DirectEP","CededEP","NetEP","Single","Reserve1997"
"1",337,"California Cas Grp",1988,1988,1,445,9,394,1328,433,895,0,691
"2",337,"California Cas Grp",1988,1989,2,442,36,292,1328,433,895,0,691
"3",337,"California Cas Grp",1988,1990,3,471,70,140,1328,433,895,0,691
"4",337,"California Cas Grp",1988,1991,4,493,182,72,1328,433,895,0,691
"5",337,"California Cas Grp",1988,1992,5,488,300,160,1328,433,895,0,691
"6",337,"California Cas Grp",1988,1993,6,358,301,45,1328,433,895,0,691
"7",337,"California Cas Grp",1988,1994,7,380,301,63,1328,433,895,0,691
"8",337,"California Cas Grp",1988,1995,8,358,301,48,1328,433,895,0,691
"9",337,"California Cas Grp",1988,1996,9,346,301,40,1328,433,895,0,691
"10",337,"California Cas Grp",1988,1997,10,347,301,45,1328,433,895,0,691
"11",337,"California Cas Grp",1989,1989,1,588,5,518,804,144,660,0,691
"12",337,"California Cas Grp",1989,1990,2,386,49,263,804,144,660,0,691
"13",337,"California Cas Grp",1989,1991,3,506,173,320,804,144,660,0,691
"14",337,"California Cas Grp",1989,1992,4,510,260,249,804,144,660,0,691
"15",337,"California Cas Grp",1989,1993,5,502,263,239,804,144,660,0,691
"16",337,"California Cas Grp",1989,1994,6,464,263,201,804,144,660,0,691
"17",337,"California Cas Grp",1989,1995,7,408,263,145,804,144,660,0,691
"18",337,"California Cas Grp",1989,1996,8,344,263,81,804,144,660,0,691
"19",337,"California Cas Grp",1989,1997,9,313,263,45,804,144,660,0,691
"20",337,"California Cas Grp",1989,1998,10,294,263,24,804,144,660,0,691
"21",337,"California Cas Grp",1990,1990,1,649,25,300,682,338,344,0,691
"22",337,"California Cas Grp",1990,1991,2,1271,594,609,682,338,344,0,691
"23",337,"California Cas Grp",1990,1992,3,1106,657,437,682,338,344,0,691
"24",337,"California Cas Grp",1990,1993,4,1141,562,579,682,338,344,0,691
"25",337,"California Cas Grp",1990,1994,5,1020,567,453,682,338,344,0,691
"26",337,"California Cas Grp",1990,1995,6,842,567,275,682,338,344,0,691
"27",337,"California Cas Grp",1990,1996,7,810,567,242,682,338,344,0,691
